ORO,-1,-1,0,0
CHB,1,0,0,0
KEB,0,1,0,0
PMB,0,0,0,0
WOO,0,0,0,0
UCO,0,-1,0,0
MAG,-1,0,0,-1
WAD,1,1,0,0
SEH,0,0,-1,-1
NEC,0,-1,-1,0
TRO,-1,-1,0,0
BAL,1,1,1,1
HEC,-1,0,-1,-1
SCO,1,1,1,1
LMH,0,0,1,0
MAN,0,0,-1,0
LIC,0,-1,0,-1
WRO,-1,0,-1,-1
JEO,1,1,1,1
BRC,0,-1,-1,0
PMB,-1,-1,-1,-1
QCO,1,1,1,1
SHG,-1,0,1,0
SJO,1,1,1,1
ORO,-1,-1,-1,-1
SAC,1,0,-1,-1
EXC,0,-1,1,1
MER,0,2,1,1
SPC,-1,-1,-1,-1
COO,1,0,0,1
CHB,0,1,0,0
NEC,-1,-1,-1,-1
SAY,1,0,1,0
SOM,0,1,0,1
UCO,0,-1,0,1
WAD,-1,0,0,-1
KEB,1,1,1,0
LIN,0,0,0,1
BAL,0,0,-1,0
TRO,-1,-1,0,-1
SEH,1,0,-1,0
MAG,-1,0,-1,-1
JEO,1,1,2,0
WOO,0,-1,-1,0
HEC,-1,-1,-1,-1
SCO,1,1,1,1
OSG,-1,-1,-1,-1
GTM,1,1,1,1
BRC,0,1,1,-5
MER,0,-1,-1,5
WRO,-1,-1,-1,-1
SHI,1,1,1,1
LIC,0,1,1,1
SJO,0,-1,-1,-1
EXC,-1,-1,-1,-1
RPC,1,1,1,0
WOO,-1,-1,-1,-1
SPC,1,1,1,1
PMB,-1,-1,-1,-1
SBH,1,1,1,1
UCO,-1,-1,-1,-1
QCO,1,1,1,1
LMH,0,1,1,1
JEO,0,0,1,1
MAN,0,0,0,1
CHB,0,0,0,-1
SAC,-1,-1,-1,1
SOM,1,0,-1,0
WAD,-1,0,1,-1
KEB,1,1,1,1
ORO,0,0,0,0
SHG,0,-1,-1,-1
NEC,-5,-1,-1,-1
BAL,-1,-1,-1,-1
PMB,1,0,1,1
LIN,-1,0,1,0
SAY,1,1,0,1
JEO,5,1,0,-1
MER,-1,-1,-1,-1
SHI,1,1,-1,0
SCO,-1,0,1,1
BAL,1,1,2,1
COO,0,0,-1,0
KEB,0,0,1,1
LIC,-1,0,-1,-1
COO,1,0,0,0
SAY,0,-1,-1,-1
MAG,-1,0,1,1
SHI,1,1,1,0
ORO,-1,1,0,1
SOM,1,-1,0,-1
QCO,0,0,0,1
